	ru	en
DL_2_13	Я пропущу тебя наверх.	I will let you through to the top.
DL_3_0	Добрый день!	Good day!
DL_3_1	Да-да, добрый-добрый.	Yes, yes, good-good.
DL_3_2	Можно мне пройти?	Can I pass through?
DL_3_3	Ну, почему бы и нет?	Well, why not?
DL_3_4	А почему бы и да?	And why not indeed?
DL_3_5	Почему бы и нет?	Why not?
DL_3_6	Здесь классная музыка и клёвые танцы.	There's great music and cool dancing here.
DL_3_7	Наверное, это не то, что я ищу в жизни.	Maybe that's not what I'm looking for in life.
DL_3_8	Ты не можешь всю жизнь только таскать камни.	You can't spend your whole life just carrying stones.
DL_3_9	К тому же, ты уже был здесь.	Besides, you've been here before.
DL_3_10	Как давно?	How long ago?
DL_3_11	Я боюсь, что не смогу внятно ответить на этот вопрос.	I'm afraid I can't give a coherent answer to that question.
DL_3_12	Здесь нет времени. И пространства.	There's no time here. And no space.
DL_4_0	Грифоны, грифоны...	Griffins, griffins...
DL_4_1	Чёртовы грифоны, я ненавижу их.	Damn griffins, I hate them.
DL_4_2	Какие грифоны?	What griffins?
DL_4_3	Раньше я охотился на грифонов.	I used to hunt griffins.
DL_4_4	Я заживо убивал их детей в красных испепеляющих зонах.	I would kill their offspring alive in the red scorching zones.
DL_4_5	Я делал всё, чтобы эти ублюдки даже не рождались.	I did everything to ensure those bastards were never even born.
DL_4_6	Что же случилось потом?	What happened next?
DL_4_7	Их было больше. Намного больше.	There were more of them. Much more.
DL_4_8	Они летали туда-сюда.	They flew back and forth.
DL_4_9	И однажды я проиграл.	And one day, I lost.
DL_4_10	Эти отродья буквально убили меня.	Those monsters literally killed me.
DL_4_11	А потом сожрали мою плоть.	And then they devoured my flesh.
DL_4_12	Считай, мне просто повезло, что я здесь.	I guess I was just lucky to end up here.
DL_4_13	И сколько вы убили их?	And how many of them did you kill?
DL_4_14	Пачки, пачки, грифонов. Некоторых я убивал, стреляя в них.	Packs, packs of griffins. I would shoot some of them.
DL_4_15	Что насчёт количества? Сотни, наверное. Тысячи.	As for the number? Hundreds, probably. Thousands.
DL_4_16	Эти грифоны! Я буквально был их истребителем, бомбардировщиком.	Those griffins! I was their exterminator, a bomber.
DL_4_17	Вернуться бы в те славные дни, когда я был молод...	I wish I could go back to those glorious days when I was young...
DL_4_18	И одет?	And dressed?
DL_4_19	И одет.	And dressed.
DL_5_0	Что ты здесь делаешь?	What are you doing here?
DL_5_1	Мы тебя потеряли.	We lost you.
DL_5_2	Кто мы?	Who are we?
DL_5_3	Мы. Мама и я. Мы пришли сюда. За тобой.	We. Mom and I. We came here. For you.
DL_5_4	Зачем? Мне и одному здесь неплохо.	Why? I'm fine here alone.
DL_5_5	Ты трудоголик. Тебе пора отдохнуть. 	You're a workaholic. It's time for you to rest.
DL_5_6	Дотащи свой камень. А потом всё.	Carry your stone. And then it's all over.
DL_5_7	Кончай с этим. Дотащи свой камень и всё.	Quit this. Carry your stone and that's it.
DL_5_8	Последний камень. Всех денег не заработаешь.	The last stone. You can't earn all the money in the world.
DL_5_9	Ну допустим. А что потом тогда мне?	Well, let's say I do it. What awaits me after that?
DL_5_10	Тогда там буду я. И мама.	Then I'll be there. And Mom.
DL_5_11	Я понял.	I understand.
DL_5_12	Ничего ты не понял. Всю жизнь будешь таскать камни.	You understand nothing. You'll spend your entire life carrying stones.
DL_5_13	Ничего не изменится.	Nothing will change.
DL_6_0	А ты кто?	And who are you?
DL_6_1	Я... Я эта самая	I... I'm the one.
DL_6_2	Кто?	The one who?
DL_6_3	Знаешь, я ожидала, что опять застану тебя за этим.	You know, I expected to find you here again.
DL_6_4	За этим неблагодарным занятием.	Engaged in this thankless task.
DL_6_5	Мне сказали, что таскать камни - это моё призвание.	I was told that carrying stones is my calling.
DL_6_6	Кто?	Who told you that?
DL_6_7	Он.	Him.
DL_6_8	Он самый?	Him? Really?
DL_6_9	Ты не шутишь?	You're not joking?
DL_6_10	Да, ОН сказал, что я рождён, чтобы таскать камни.	Yes, HE said that I was born to carry stones.
DL_6_11	В любом случае, ты должен решить.	In any case, you have to decide.
DL_6_12	Мы или камни.	Us or the stones.
DL_6_13	Семья или грёбаные камни.	Family or those damn stones.
DL_6_14	Чёртовы камни. Как я их ненавижу.	Damn stones. I hate them.
DL_6_15	Послушай, но я не могу без них.	Listen, but I can't live without them.
DL_6_16	Похоже, камни это часть меня.	It seems like the stones are a part of me.
DL_6_17	Иди отсюда. И не возвращайся.	Go away. And don't come back.
DL_6_18	И про НЕГО тоже забудь.	And forget about HIM too.
DL_6_19	Скоро всё решится.	It will all be resolved soon.
DL_6_20	Что?	What?
DL_6_21	Ты увидишь.	You'll see.
DL_9_0	Что же, ты сделал свой выбор.	Well, you've made your choice.
DL_9_1	Осознанно я его не делал.	I didn't consciously make it.
DL_9_2	Здесь и не нужна была осознанность.	Consciousness wasn't necessary here.
DL_9_3	Мне кажется, ты всё и сам понимаешь.	I think you understand everything yourself.
DL_9_4	Что дальше?	What's next?
DL_9_5	Собственно, это конец.	Well, this is the end.
DL_9_6	Ты прошёл этот путь опять, и опять ничего не понял...	You went through this path again and still didn't understand anything...
DL_9_7	...	...
DL_9_8	...	...
DL_9_9	...	...
DL_9_10	Знаешь, мне иногда кажется, что я безнадёжен.	You know, sometimes I feel hopeless.
DL_9_11	Так и есть.	That's true.
DL_9_12	Я устал от себя.	I'm tired of myself.
DL_9_13	Я себя ненавижу.	I hate myself.
DL_9_14	Каждую секунду, пока я нёс этот камень.	Every second while carrying this stone.
DL_9_15	Я себя ненавидел.	I hated myself.
DL_9_16	Забудь. Всё закончилось.	Forget it. It's over.
DL_9_17	Это была твоя последняя попытка.	This was your last attempt.
DL_9_18	Хватит таскать камни.	Stop carrying the stones.
DL_9_19	Пора обратно, в нормальную жизнь.	It's time to go back, to a normal life.
DL_10_0	Неужели ты сделал это?	Did you really do it?
DL_10_1	Ура!	Hurray!
DL_10_2	Что?	What?
DL_10_3	Что я сделал?	What did I do?
DL_10_4	Будем считать, что ты победил.	Let's consider it a victory.
DL_10_5	Но какой ценой?	But at what cost?
DL_10_6	Пожалуй, ценой жизни.	Well, perhaps at the cost of life.
DL_10_7	И семьи.	And family.
DL_10_8	Угу.	Yeah.
DL_10_9	В общем, ты победил, но хорошего конца от этого не будет.	Anyway, you won, but there won't be a happy ending from it.
DL_10_10	Мы уходим.	We're leaving.
DL_10_11	Навсегда.	Forever.
DL_10_12	А что делать мне?	What should I do now?
DL_10_13	Забудь о нас. Займись собой.	Forget about us. Take care of yourself.
DL_10_14	Там, всё же. У тебя успех.	There, after all, you have success.
DL_10_15	У тебя есть теперь свобода.	You have freedom now.
DL_10_16	Но нет нас.	But not us.
DL_10_17	Этого же ты хотел?	Is that what you wanted?
DL_10_18	Нет, наверное.	No, probably not.
DL_10_19	А твои действия показывают, что да.	But your actions show otherwise.
DL_10_20	Пока.	Goodbye.
DL_10_21	Пока.	Goodbye.
DL_10_22	...	...
DL_10_23	...	...
DL_10_24	Прощай.	Farewell.
DL_11_0	Добрый день!	Good day!
DL_11_1	Я Знаменитый Сырный Король.	I am the Famous Cheese King.
DL_11_2	Прошу называть меня так.	Please address me as such.
DL_11_3	Добрый день, Знаменитый Сырный Король.	Good day, Famous Cheese King.
DL_11_4	Чего вы желали?	What brings you here?
DL_11_5	Я просто хожу и смотрю.	I'm just walking around and observing.
DL_11_6	А чем вы занимаетесь?	What do you do for a living?
DL_11_7	Я ношу камень.	I carry a stone.
DL_11_8	Это ваша работа?	Is that your job?
DL_11_9	Похоже на то. 	It seems so.
DL_11_10	По крайней мере, я никуда без этого камня уйти не могу.	At least, I can't go anywhere without this stone.
DL_11_11	Это почётная работа!	It's an honorable job!
DL_11_12	Давно не видел таких отчаянных людей.	Haven't seen such determined individuals in a while.
DL_11_13	Ты достоин награды.	You deserve a reward.
DL_11_14	Мне кажется, что нет.	I don't think so.
DL_11_15	Позвольте, но мы с вами виделись уже много раз.	Allow me, but we've met many times before.
DL_11_16	И вы все равно продолжаете нести эту ношу.	And yet, you continue to bear this burden.
DL_11_17	Вот вам корона.	Here's a crown for you.
DL_11_18	Конечно же, это ненастоящая.	Of course, it's not real.
DL_11_19	Просто копия.	Just a replica.
DL_11_20	Люблю копии.	I love replicas.
DL_11_21	Иногда в копиях больше смысла, чем в оригинале.	Sometimes replicas hold more meaning than the original.
DL_11_22	Иногда в копиях виртуальности больше смысла, чем в реальности.	Sometimes the virtuality of replicas holds more meaning than reality.
DL_11_23	Просто удивительно!	Simply marvelous!
